MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, Ceiling1, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, MountainE, Sand, Sand, Sand, Sand, Grass, Grass, Grass
Grass, Grass, Grass, Ceiling1, Floor, Floor, Floor, Ceiling1, Wall, Wall, Floor, Floor, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Floor, Floor, Wall, Wall, Wall, Wall, Wall, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Grass, Grass, Ceiling2, Ceiling2, Floor, Ceiling2, Ceiling2, Sand, Grass, Grass, Grass, Grass, Water, Water, Water, Water, Water, Water, Water, Water, Floor, Floor, Water, Water, Water, Water, Water, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Grass, Sand, Wall, Wall, Floor, Wall, Wall, Sand, Grass, Grass, Grass, Grass, Water, Water, Water, Water, Water, Water, Water, Water, Floor, Floor, Water, Water, Water, Water, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Grass, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Grass, Grass, Grass, Grass, Grass, Water, Water, Water, Water, Water, Water, Water, Floor, Floor, Water, Water, Water, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Sand, Sand, Water, Water, Sand, Sand, Sand, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Water, Water, Water, Water, Water, Water, Floor, Floor, Water, Water, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Sand, Water, Water, Water, Water, Sand, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Water, Water, Water, Floor, Floor, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Sand, Water, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Floor, Floor, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Sand, Water, Water, Water, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Grass, Water, Water, Water, Grass, Bush, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Grass, Grass, Grass, Water, Water, Bush, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Bush, Grass, Grass, Bush, Bush, Forest, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Forest, Bush, Bush, Forest, Forest, Forest, Forest, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Bush, Grass, Ceiling1, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Ceiling1, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Bush, Grass, Grass, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Grass, Grass, Grass, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Grass, Grass, Grass, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Ceiling2, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Ceiling2, Wall, Wall, Wall, Wall, Ceiling2, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Forest, Forest, Forest, Forest, Forest, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
MountainG, Forest, Forest, Forest, Forest, Bush, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
MountainE, MountainG, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
MountainE, MountainG, Forest, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
MountainE, MountainG, Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
MountainG, Forest, Bush, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass
Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand
Forest, Forest, Bush, Grass, Grass, Grass, Grass, Grass, Grass, Grass, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand
Bush, Bush, Grass, Grass, Grass, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Sand, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water
Grass, Grass, Grass, Sand, Sand, Sand, Sand, Sand, Sand, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water
Grass, Sand, Sand, Sand, Sand, Sand, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water
Sand, Sand, Sand, Sand, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water, Water
